#400x2000, 10000					
#Nodes	Cores	Runtime (s) DP	Speedup	Runtime (s) SP	Speedup
1	16	54.78	1.00	29.32	1.00
2	32	33.08	1.66	15.72	1.87
3	48	25.17	2.18	13.04	2.25
4	64	20.27	2.70	11.10	2.64
5	80	16.35	3.35	9.86	2.97
6	96	16.46	3.33	9.53	3.08
7	112	15.22	3.60	8.69	3.38
8	128	14.46	3.79	8.52	3.44
9	144	14.37	3.81	8.24	3.56
10	160	14.49	3.78	7.93	3.70
11	176	13.67	4.01	7.86	3.73
12	192	13.61	4.02	7.80	3.76
13	208	12.92	4.24	7.55	3.88
14	224	13.13	4.17	7.92	3.70
15	240	12.96	4.23	7.39	3.97
16	256	13.00	4.21	8.03	3.65
					
					
#800x4000, 10000					
#Nodes	Cores	Runtime (s) DP	Speedup	Runtime (s) SP	Speedup
1	16	218.14	1.00	119.10	1.00
2	32	115.06	1.90	64.12	1.86
3	48	85.80	2.54	46.38	2.57
4	64	66.60	3.28	36.66	3.25
5	80	56.06	3.89	29.18	4.08
6	96	50.68	4.30	26.97	4.42
7	112	45.50	4.79	23.08	5.16
8	128	43.22	5.05	21.59	5.52
9	144	39.16	5.57	19.82	6.01
10	160	35.11	6.21	18.43	6.46
11	176	35.17	6.20	18.52	6.43
12	192	35.78	6.10	18.57	6.41
13	208	31.63	6.90	18.02	6.61
14	224	31.70	6.88	17.27	6.90
15	240	31.91	6.84	17.25	6.91
16	256	32.55	6.70	17.30	6.88
					
					
#OVERLAP	-------------------------------------------------------------------------------------------------------				
#400x2000, 10000					
#Nodes	Cores	Runtime (s) DP	Speedup	Runtime (s) SP	Speedup
1	16	55.83	1.00	29.04	1.00
2	32	32.62	1.71	14.53	2.00
3	48	23.59	2.37	11.18	2.60
4	64	17.27	3.23	9.22	3.15
5	80	12.96	4.31	7.63	3.81
6	96	13.42	4.16	7.85	3.70
7	112	12.18	4.59	7.06	4.12
8	128	12.78	4.37	7.00	4.15
9	144	12.38	4.51	7.12	4.08
10	160	12.91	4.33	7.09	4.10
11	176	12.17	4.59	7.42	3.91
12	192	12.38	4.51	7.35	3.95
13	208	12.68	4.40	7.42	3.91
14	224	12.94	4.31	7.85	3.70
15	240	13.19	4.23	7.24	4.01
16	256	13.00	4.29	7.23	4.02
					
					
#800x4000, 10000					
#Nodes	Cores	Runtime (s) DP	Speedup	Runtime (s) SP	Speedup
1	16	222.20	1.00	120.07	1.00
2	32	114.75	1.94	63.78	1.88
3	48	83.45	2.66	44.52	2.70
4	64	64.55	3.44	35.14	3.42
5	80	52.18	4.26	27.33	4.39
6	96	47.62	4.67	24.46	4.91
7	112	43.63	5.09	21.43	5.60
8	128	39.89	5.57	18.68	6.43
9	144	35.02	6.34	16.85	7.12
10	160	30.93	7.18	14.89	8.07
11	176	30.88	7.19	15.98	7.52
12	192	31.03	7.16	15.52	7.74
13	208	26.54	8.37	14.87	8.07
14	224	26.77	8.30	14.48	8.29
15	240	26.84	8.28	14.65	8.20
16	256	27.28	8.14	14.77	8.13

