# i5-2500K
#   Triad BW Inc  AVX           Serial
1   1.000         156.30 1.000  274.33 1.000
2   1.004         110.31 1.417  141.36 1.941
4   0.973         118.03 1.324  118.90 2.307


# E5-2667v2 (One NUMA Node)
#   Triad BW Inc  AVX           Serial
1   1.000         153.86 1.000  273.15 1.000
2   1.378         83.378 1.845  142.10 1.922
4   1.466         64.263 2.394  78.20  3.493
8   1.459         63.368 2.428  63.62  4.293


# E5-2667v2 (Max NUMA Nodes (2))
#   Triad BW Inc  AVX           Serial
1   1.000         153.87 1.000  273.15 1.000
2   1.955         81.61  1.885  141.48 1.931
4   2.534         44.92  3.425  73.05  3.739
8   2.671         36.96  4.163  41.09  6.648
16  2.672         40.27  3.821  35.69  7.653



# Opteron 6128 (One NUMA Node)
#   Triad BW Inc  SSE           Serial
1   1.000         853.70 1.000  976.62 1.000
2   1.352         441.66 1.933  502.51 1.943
4   1.609         240.95 3.543  267.00 3.658


# Opteron 6128 (Max NUMA Nodes (4))
#   Triad BW Inc  SSE           Serial
1   1.000         853.70 1.000  976.62 1.000
2   1.964         425.39 2.007  491.59 1.987
4   3.447         214.94 3.972  248.68 3.927
8   5.064         113.02 7.553  128.30 7.612
16  6.456         63.07	 13.54  69.34	14.08


# Opteron 6328 (One NUMA Nodes)
#   Triad BW Inc  AVX           Serial
1   1.000         466.66 1.000  790.06 1.000
2   1.127         259.41 1.799  429.05 1.841
4   1.397         161.76 2.885  278.78 2.834


# Opteron 6328 (Max NUMA Nodes (4))
#   Triad BW Inc  AVX           Serial
1   1.000         466.66 1.000  790.06 1.000
2   1.939         245.02 1.905  399.33 1.978
4   3.569         124.09 3.761  200.76 3.935
8   3.805         69.86  6.680  108.09 7.310
16  5.330         44.11  10.58  71.54  11.04

































































